Brand,Device,Capacity,Latency,Price,Link
Western Digital,Laptop,1024,5.6,89.99,http://store.westerndigital.com/store/wdus/en_US/DisplayProductDetailsPage/ThemeID.30153100/categoryID.13095600/subCategory.13430200/parid.13092500/catid.13095000
Western Digital,Laptop,500,5.6,64.99,http://store.westerndigital.com/store/wdus/en_US/DisplayProductDetailsPage/ThemeID.30153100/categoryID.13095600/subCategory.13430200/parid.13092500/catid.13095000
Western Digital,Laptop,320,5.6,54.99,http://store.westerndigital.com/store/wdus/en_US/DisplayProductDetailsPage/ThemeID.30153100/categoryID.13095600/subCategory.13430200/parid.13092500/catid.13095000
Western Digital,Laptop,320,4.2,64.99,http://store.westerndigital.com/store/wdus/en_US/pd/ThemeID.30153100/productID.223003700/parid.13092500/catid.13095000/categoryID.13095500
Seagate,Laptop,1024,5.6,99.99,http://www.seagate.com/internal-hard-drives/laptop-hard-drives/momentus-laptop/
Seagate,Laptop,750,4.2,79.99,http://www.seagate.com/internal-hard-drives/laptop-hard-drives/momentus-laptop/
Seagate,Laptop,500,5.6,59.99,http://www.seagate.com/internal-hard-drives/laptop-hard-drives/momentus-laptop/
Seagate,Laptop,320,5.6,57.98,http://www.seagate.com/internal-hard-drives/laptop-hard-drives/momentus-laptop/
Seagate,Laptop,250,5.6,55.99,http://www.seagate.com/internal-hard-drives/laptop-hard-drives/momentus-laptop/
Seagate,Laptop,250,4.2,58.96,http://www.seagate.com/internal-hard-drives/laptop-hard-drives/momentus-laptop/
