Brand,Memory,Device,Capacity,Latency,Price,Link
Corsair,DDR2,Laptop,1,4,24.99,http://www.corsair.com/us/memory-by-product-family/laptop-memory-upgrades/vs1gsds533d2.html
Corsair,DDR2,Laptop,2,5,39.99,http://www.corsair.com/us/memory-by-product-family/laptop-memory-upgrades/vs2gsds667d2.html
Corsair,DDR2,Laptop,4,6,129.99,http://www.corsair.com/us/memory-by-product-family/laptop-memory-upgrades/vs4gsds800d2.html
Corsair,DDR3,Laptop,4,7,94.99,http://www.corsair.com/us/memory-by-product-family/laptop-memory-upgrades/cm3x4gsd1066.html
Corsair,DDR3,Laptop,4,9,34.99,http://www.corsair.com/us/memory-by-product-family/laptop-memory-upgrades/corsair-memory-4gb-ddr3-sodimm-memory-cmso4gx3m1a1333c9.html
Corsair,DDR3,Laptop,8,9,69.99,http://www.corsair.com/us/memory-by-product-family/laptop-memory-upgrades/cmso8gx3m2a1333c9.html
Corsair,DDR3,Laptop,8,7,189.99,http://www.corsair.com/us/memory-by-product-family/laptop-memory-upgrades/cm3x8gsdkit1066.html
Corsair,DDR2,Laptop,8,6,259.99,http://www.corsair.com/us/memory-by-product-family/laptop-memory-upgrades/vs8gsdskit800d2.html
Corsair,DDR3,Laptop,16,9,134.99,http://www.corsair.com/us/memory-by-product-family/laptop-memory-upgrades/corsair-memory-16gb-2-x-8gb-ddr3-sodimm-memory-cmso16gx3m2a1333c9.html
Samsung,DDR2,Laptop,1,6,15.99,https://www.samsung.com/us/computer/memory-storage/MV-2S1G4/US
Samsung,DDR2,Laptop,2,6,26.99,https://www.samsung.com/us/computer/memory-storage/MV-2S2G4/US-specs
Samsung,DDR3,Laptop,2,11,14.99,https://www.samsung.com/us/computer/memory-storage/MV-3T2G3/US-specs
Samsung,DDR3,Laptop,4,11,27.99,https://www.samsung.com/us/computer/memory-storage/MV-3T4G3/US
Samsung,DDR3,Laptop,8,11,54.99,https://www.samsung.com/us/computer/memory-storage/MV-3T4G3D/US
Crucial,DDR3,Laptop,1,9,12.99,http://www.crucial.com/store/partspecs.aspx?IMODULE=CT12864BF1339
Crucial,DDR3,Laptop,2,9,20.99,http://www.crucial.com/store/partspecs.aspx?IMODULE=CT25664BF1339
Crucial,DDR3,Laptop,4,9,34.99,http://www.crucial.com/store/partspecs.aspx?IMODULE=CT51264BF1339
Crucial,DDR3,Laptop,8,9,62.99,http://www.crucial.com/store/partspecs.aspx?IMODULE=CT102464BF1339
Crucial,DDR2,Laptop,1,5,18.99,http://www.crucial.com/store/partspecs.aspx?IMODULE=CT12864AC667
Crucial,DDR2,Laptop,2,5,35.99,http://www.crucial.com/store/partspecs.aspx?IMODULE=CT25664AC667
Crucial,DDR2,Laptop,4,5,97.99,http://www.crucial.com/store/partspecs.aspx?IMODULE=CT51264AC667
Crucial,DDR2,Laptop,8,5,195.99,http://www.crucial.com/store/partspecs.aspx?IMODULE=CT2KIT51264AC667
